No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
1.0,Décembre,3.0,1,0.0,4.0,4.0,3.0,,200.0,82.0,-2.3,1020.8,-19.7,0.0,E,0.5,École Ouakam
2.0,Décembre,3.0,1,1.0,7.0,7.0,3.0,,200.0,80.0,-2.5,1021.3,-19.0,0.0,ENE,0.7,École Ouakam
3.0,Décembre,3.0,1,2.0,5.0,5.0,3.0,2.0,200.0,79.0,-3.0,1021.3,-19.9,0.0,ENE,0.2,École Ouakam
4.0,Décembre,3.0,1,3.0,6.0,6.0,3.0,,200.0,79.0,-3.6,1021.8,-19.1,0.0,NNE,1.0,École Ouakam
5.0,Décembre,3.0,1,4.0,5.0,5.0,3.0,,200.0,81.0,-3.5,1022.3,-19.4,0.0,N,2.1,École Ouakam
6.0,Décembre,3.0,1,5.0,6.0,6.0,3.0,4.0,200.0,79.0,-4.5,1022.6,-19.5,0.0,NNW,1.7,École Ouakam
7.0,Décembre,3.0,1,6.0,5.0,10.0,3.0,4.0,200.0,77.0,-4.5,1023.4,-19.5,0.0,NNW,1.8,École Ouakam
8.0,Décembre,3.0,1,7.0,5.0,6.0,3.0,2.0,200.0,80.0,-2.1,1024.6,-20.0,0.0,NW,2.5,École Ouakam
9.0,Décembre,3.0,1,8.0,8.0,7.0,3.0,3.0,200.0,79.0,-0.2,1025.2,-20.5,0.0,NNW,2.8,École Ouakam
10.0,Décembre,3.0,1,9.0,8.0,8.0,3.0,2.0,200.0,81.0,0.6,1025.3,-20.4,0.0,NNW,3.8,École Ouakam
11.0,Décembre,3.0,1,10.0,8.0,62.0,3.0,,200.0,83.0,2.0,1025.1,-21.3,0.0,N,2.2,École Ouakam
12.0,Décembre,3.0,1,11.0,3.0,2.0,3.0,,200.0,83.0,3.6,1024.8,-20.7,0.0,NNE,2.7,École Ouakam
13.0,Décembre,3.0,1,12.0,6.0,62.0,3.0,,200.0,85.0,4.8,1023.8,-19.7,0.0,N,3.0,École Ouakam
14.0,Décembre,3.0,1,13.0,7.0,7.0,3.0,2.0,200.0,84.0,5.8,1022.8,-20.6,0.0,NE,4.4,École Ouakam
15.0,Décembre,3.0,1,14.0,6.0,7.0,3.0,,200.0,89.0,5.9,1022.6,-20.5,0.0,N,3.6,École Ouakam
16.0,Décembre,3.0,1,15.0,10.0,10.0,3.0,,200.0,88.0,6.0,1022.6,-20.4,0.0,N,3.2,École Ouakam
17.0,Décembre,3.0,1,16.0,3.0,6.0,3.0,,200.0,87.0,5.4,1022.8,-20.0,0.0,NE,2.2,École Ouakam
18.0,Décembre,3.0,1,17.0,5.0,5.0,3.0,,200.0,87.0,3.5,1023.4,-20.8,0.0,ENE,2.0,École Ouakam
19.0,Décembre,3.0,1,18.0,5.0,6.0,3.0,,200.0,85.0,2.7,1024.2,-20.0,0.0,NE,3.6,École Ouakam
20.0,Décembre,3.0,1,19.0,14.0,6.0,3.0,,200.0,83.0,2.0,1025.1,-19.3,0.0,ENE,1.7,École Ouakam
21.0,Décembre,3.0,1,20.0,6.0,7.0,3.0,,200.0,83.0,1.1,1025.9,-18.3,0.0,NE,1.7,École Ouakam
22.0,Décembre,3.0,1,21.0,9.0,7.0,3.0,,200.0,82.0,1.6,1026.7,-17.4,0.0,E,2.3,École Ouakam
23.0,Décembre,3.0,1,22.0,6.0,5.0,3.0,,200.0,79.0,0.4,1027.2,-17.4,0.0,E,0.0,École Ouakam
24.0,Décembre,3.0,1,23.0,6.0,9.0,3.0,2.0,300.0,72.0,0.3,1027.0,-16.6,0.0,NE,1.5,École Ouakam
25.0,Décembre,3.0,2,0.0,4.0,7.0,3.0,2.0,200.0,74.0,-0.5,1027.4,-16.4,0.0,SW,3.0,École Ouakam
26.0,Décembre,3.0,2,1.0,6.0,6.0,3.0,2.0,200.0,75.0,-1.8,1027.9,-16.7,0.0,SSW,0.9,École Ouakam
27.0,Décembre,3.0,2,2.0,7.0,2.0,13.0,39.0,800.0,36.0,-1.7,1027.7,-17.4,0.0,SSW,1.5,École Ouakam
28.0,Décembre,3.0,2,3.0,28.0,47.0,21.0,71.0,1200.0,6.0,-2.5,1027.7,-17.4,0.0,SW,1.7,École Ouakam
29.0,Décembre,3.0,2,4.0,31.0,65.0,25.0,71.0,1200.0,5.0,-3.4,1027.5,-17.0,0.0,NW,0.8,École Ouakam
30.0,Décembre,3.0,2,5.0,39.0,55.0,22.0,70.0,1200.0,2.0,-3.5,1026.9,-16.8,0.0,N,0.5,École Ouakam
31.0,Décembre,3.0,2,6.0,41.0,45.0,16.0,65.0,1000.0,4.0,-3.5,1026.1,-15.8,0.0,NNE,0.9,École Ouakam
32.0,Décembre,3.0,2,7.0,52.0,32.0,13.0,56.0,800.0,8.0,-3.3,1026.7,-14.4,0.0,NNW,0.9,École Ouakam
33.0,Décembre,3.0,2,8.0,36.0,18.0,16.0,52.0,900.0,12.0,-2.0,1026.4,-15.1,0.0,NNE,1.0,École Ouakam
34.0,Décembre,3.0,2,9.0,27.0,41.0,18.0,43.0,900.0,20.0,-0.2,1026.3,-16.6,0.0,WSW,0.5,École Ouakam
35.0,Décembre,3.0,2,10.0,29.0,38.0,20.0,35.0,600.0,42.0,0.6,1025.8,-17.2,0.0,SW,1.3,École Ouakam
36.0,Décembre,3.0,2,11.0,19.0,12.0,22.0,38.0,600.0,43.0,1.3,1025.4,-17.1,0.0,ESE,1.1,École Ouakam
37.0,Décembre,3.0,2,12.0,28.0,32.0,32.0,56.0,700.0,32.0,1.9,1024.2,-17.1,0.0,WSW,1.6,École Ouakam
38.0,Décembre,3.0,2,13.0,30.0,41.0,27.0,42.0,600.0,45.0,2.3,1022.6,-17.3,0.0,SE,0.2,École Ouakam
39.0,Décembre,3.0,2,14.0,26.0,29.0,30.0,48.0,700.0,43.0,3.0,1021.9,-17.3,0.0,S,0.0,École Ouakam
40.0,Décembre,3.0,2,15.0,32.0,36.0,37.0,56.0,800.0,39.0,2.9,1020.9,-16.8,0.0,WSW,1.2,École Ouakam
41.0,Décembre,3.0,2,16.0,39.0,44.0,42.0,64.0,900.0,33.0,2.5,1020.6,-17.1,0.0,WNW,0.5,École Ouakam
42.0,Décembre,3.0,2,17.0,43.0,54.0,44.0,70.0,900.0,27.0,2.1,1020.2,-16.4,0.0,E,0.7,École Ouakam
43.0,Décembre,3.0,2,18.0,48.0,60.0,45.0,80.0,1000.0,19.0,1.5,1020.4,-16.0,0.0,NE,0.7,École Ouakam
44.0,Décembre,3.0,2,19.0,46.0,64.0,36.0,80.0,1000.0,11.0,0.3,1020.0,-15.3,0.0,NE,0.6,École Ouakam
45.0,Décembre,3.0,2,20.0,45.0,66.0,30.0,79.0,1200.0,6.0,0.0,1019.9,-15.2,0.0,NE,0.2,École Ouakam
46.0,Décembre,3.0,2,21.0,50.0,68.0,36.0,82.0,1200.0,4.0,-1.2,1019.7,-13.7,0.0,N,1.0,École Ouakam
47.0,Décembre,3.0,2,22.0,56.0,73.0,26.0,76.0,1200.0,4.0,-2.1,1019.1,-13.3,0.0,NNE,0.4,École Ouakam
48.0,Décembre,3.0,2,23.0,55.0,66.0,25.0,76.0,1200.0,3.0,-2.2,1018.2,-13.4,0.0,NNE,1.1,École Ouakam
49.0,Décembre,3.0,3,0.0,60.0,60.0,26.0,77.0,1200.0,2.0,-2.4,1017.4,-13.0,0.0,N,1.0,École Ouakam
50.0,Décembre,3.0,3,1.0,59.0,63.0,21.0,72.0,1100.0,2.0,-3.8,1016.5,-12.2,0.0,NNW,1.4,École Ouakam
51.0,Décembre,3.0,3,2.0,52.0,53.0,,69.0,1300.0,3.0,-3.8,1015.1,-12.7,0.0,NNE,0.8,École Ouakam
52.0,Décembre,3.0,3,3.0,57.0,57.0,20.0,67.0,700.0,45.0,-4.0,1014.1,-13.4,0.0,NE,0.7,École Ouakam
